    101  !  (c)  2019  Oklahoma  Climatological  Survey  and  the  Oklahoma  Mesonet  -  all  rights  reserved
	21  2019  09  28  00  00  00
  STID    STNM    TIME      RELH      TAIR      WSPD      WVEC    WDIR      WDSD      WSSD      WMAX        RAIN          PRES    SRAD      TA9M      WS2M      TS10      TB10      TS05      TS25      TS60        TR05        TR25        TR60
  WASH        99          0          39      11.6        3.2        3.2      212        5.1        0.3        3.9        0.00      972.69          2      12.4        2.2        6.8        8.6        8.1        6.4        7.5        1.53        1.44        1.35
  WATO      100          0          36      11.1        5.9        5.8      209        5.0        0.6        7.3        0.00      950.76          2      11.9        4.0        6.2        7.0        6.4        5.9        7.4        1.65        1.45        1.42
  WAUR      101          0          44      11.2        1.7        1.7      198        5.9        0.2        2.3        0.00      981.02          3      12.3        0.2        8.0        9.4        8.2        7.2        8.3        1.45        1.35        1.37
  WEAT      102          0          36      10.7        6.9        6.9      203        3.8        0.3        7.8        0.00      948.98          3      11.8        4.7        5.0        6.9        5.7        4.9      -998        1.75        1.93        -998
  WEBR      132          0          47        9.7        1.4        1.4      167        3.3        0.1        1.8        0.00      996.39          1      11.8        0.8        5.5        7.5        5.9        5.6        7.3        1.37        1.36        1.56
  WEST      104          0          47        8.2        2.7        2.6      218        5.6        0.3        3.4        0.00      972.00          0        9.1        2.0        6.3        7.6        7.3        5.8      -998        1.47        1.46        -998
  WILB      105          0          53        8.8        0.5        0.5      193        0.0        0.1        0.7        0.00      990.26          1      12.3        0.4        5.8        8.5        6.9        5.9        7.6        1.48        1.44        1.48
  WIST      106          0          66        6.6        0.8        0.8      118        8.3        0.1        1.0        0.00      997.30          1      10.2        0.1        5.8        8.5        6.0        5.7        7.6        1.42        1.48        1.44
  WOOD      107          0          25      11.9        4.0        4.0      212        6.6        0.5        5.1        0.00      937.62          3      13.0        2.1        4.7        6.4        4.7        4.3        6.1        1.55        1.62        1.86
  WYNO      108          0          46      10.1        4.4        4.4      182        5.1        0.4        5.5        0.00      979.24          1      11.3        3.0        4.7        6.0        5.2        3.4      -998        1.66        1.62        -998
  YUKO      142          0          41      10.5        4.5        4.5      203        4.9        0.4        5.4        0.00      964.59          2      12.1        2.8        6.6      -999        6.6        6.0        6.8        1.58        1.43        1.34
